Domain,Phylum,Class,Order,Family,Genus,Species,No. genomes
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp036962145,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp038592905,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp039832695,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp040797665,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp900103525,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp900177675,4
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp946151075,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus sp963530265,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus thermocopriae,6
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus vireti,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus vireti_A,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus vireti_B,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus_A,Neobacillus_A sp030705745,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus_A,Neobacillus_A sp030915465,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus_A,Neobacillus_A sp900115925,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus_A,Neobacillus_A terrae,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia alba,11
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia circulans,23
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia circulans_A,14
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia circulans_B,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia hominis,8
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia nealsonii,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp009183415,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp011524565,6
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp023168165,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp031179905,3
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp031978665,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp035556015,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia sp038007965,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia taxi,11
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Niallia,Niallia taxi_A,7
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Pseudoneobacillus,Pseudoneobacillus rhizosphaerae,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Pseudoneobacillus,Pseudoneobacillus sp035631415,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya andreesenii,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya dakarensis,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya kyonggiensis,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya massiliosenegalensis,2
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya methanolica_A,4
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya siralis,4
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Robertmurraya,Robertmurraya yapensis,3
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,T33-2,T33-2 sp002860205,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,VATK01,VATK01 sp006546985,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-23947,Oikeobacillus,Oikeobacillus pervagus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-25281,Falsibacillus,Falsibacillus albus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-25281,Falsibacillus,Falsibacillus pallidus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-4216,Bacillus_O,Bacillus_O smithii,17
Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-4216,Bacillus_O,Bacillus_O sp014896555,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_BX,Bacillus_BX ectoiniformans,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_CE,Bacillus_CE sp002261155,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_CE,Bacillus_CE sp002797375,2
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_CE,Bacillus_CE sp016820555,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_CE,Bacillus_CE sp037201805,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Bacillus_CE,Bacillus_CE xiapuensis,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus aminovorans,4
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus antri,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus enclensis,3
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus epiphyticus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus indicus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus indicus_A,3
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus iocasae,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus mangrovi,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus robiginosus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus sp022668875,2
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus sp031177795,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,Domibacillus tundrae,3
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Pseudobacillus,Pseudobacillus aerolatus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Pseudobacillus,Pseudobacillus badius,12
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Pseudobacillus,Pseudobacillus sp003600835,2
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Pseudobacillus,Pseudobacillus wudalianchiensis,2
Bacteria,Bacillota,Bacilli,Bacillales_B,Domibacillaceae,Quasibacillus,Quasibacillus thermotolerans,4
Bacteria,Bacillota,Bacilli,Bacillales_B,JACDOC01,JACDOC01,JACDOC01 sp017656295,1
Bacteria,Bacillota,Bacilli,Bacillales_B,JC228,Bacillus_BF,Bacillus_BF carboniphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,JC228,Bacillus_BF,Bacillus_BF litorisediminis,3
Bacteria,Bacillota,Bacilli,Bacillales_B,JC228,Bacillus_BF,Bacillus_BF oleivorans,2
Bacteria,Bacillota,Bacilli,Bacillales_B,JC228,Bacillus_CG,Bacillus_CG fonticola,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus alimentarius,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus aurantiacus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus campisalis,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus haloalkalitolerans,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus malaysiensis,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus marinus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus proteolyticus,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus salarius,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus soli,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus sp004358665,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus sp004405105,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus sp029667115,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Jeotgalibacillaceae,Jeotgalibacillus,Jeotgalibacillus terrae,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Pradoshiaceae,Pradoshia,Pradoshia eiseniae,1
Bacteria,Bacillota,Bacilli,Bacillales_B,Pradoshiaceae,Pradoshia,Pradoshia sp001183965,2
Bacteria,Bacillota,Bacilli,Bacillales_B,Pradoshiaceae,Pradoshia,Pradoshia sp001685035,4
Bacteria,Bacillota,Bacilli,Bacillales_B,Pradoshiaceae,Pradoshia,Pradoshia sp904501845,2
Bacteria,Bacillota,Bacilli,Bacillales_B,R1DC41,Mangrovibacillus,Mangrovibacillus cuniculi,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Calidifontibacillus,Calidifontibacillus erzurumensis,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Calidifontibacillus_A,Calidifontibacillus_A oryziterrae,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,OESV01,OESV01 sp900240995,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Schinkia,Schinkia azotoformans,24
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Schinkia,Schinkia sp012840465,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Schinkia,Schinkia sp012842745,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Schinkia,Schinkia sp016841285,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_J,Schinkia,Schinkia sp023457235,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_N,Bacillus_AV,Bacillus_AV solimangrovi,1
Bacteria,Bacillota,Bacilli,Bacillales_C,Bacillaceae_N,Bacillus_AV,Bacillus_AV sp020524525,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus aidingensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus almallahensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus filiformis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus flavidus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus haloalkaliphilus,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus haloalkaliphilus_A,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus salilacus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,Alkalibacillus silvisoli,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Allobacillus,Allobacillus halotolerans,5
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Allobacillus,Allobacillus salarius,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Allobacillus,Allobacillus saliphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Allobacillus,Allobacillus sp937958375,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Aquisalibacillus,Aquisalibacillus elongatus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,CALKAL01,CALKAL01 sp937983065,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Filobacillus,Filobacillus milosensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Halalkalibacillus,Halalkalibacillus halophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Halalkalibacillus_A,Halalkalibacillus_A sediminis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Melghiribacillus,Melghiribacillus sp017656265,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Melghiribacillus,Melghiribacillus thermohalophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,OEQK01,OEQK01 sp900240405,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Piscibacillus,Piscibacillus halophilus,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Piscibacillus,Piscibacillus salipiscarius,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salinibacillus,Salinibacillus aidingensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salinibacillus,Salinibacillus kushneri,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salinibacillus,Salinibacillus sp010092505,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salinibacillus,Salinibacillus xinjiangensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salirhabdus,Salirhabdus euzebyi,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Salirhabdus_A,Salirhabdus_A salicampi,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Alkalibacillaceae,Tenuibacillus,Tenuibacillus multivorans,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aciduricibacillus,Aciduricibacillus chroicocephali,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus,Amphibacillus indicireducens,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus,Amphibacillus sp012838505,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus,Amphibacillus sp018919165,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus,Amphibacillus xylanus,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus_B,Amphibacillus_B sediminis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus_C,Amphibacillus_C cookii,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus_C,Amphibacillus_C jilinensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Amphibacillus_D,Amphibacillus_D marinus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus,Aquibacillus halophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus,Aquibacillus saliphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_A,Aquibacillus_A albus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_A,Aquibacillus_A salsiterrae,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_C,Aquibacillus_C koreensis,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_C,Aquibacillus_C rhizosphaerae,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_D,Aquibacillus_D kalidii,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Aquibacillus_E,Aquibacillus_E sediminis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Avamphibacillus,Avamphibacillus intestinigallinarum,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp026168805,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035301025,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035301345,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035302085,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035302425,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035302925,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp035303185,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp040958695,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,CALAMD01,CALAMD01 sp937925695,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Cerasibacillus,Cerasibacillus quisquiliarum,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Cerasibacillus,Cerasibacillus sp036516575,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Cerasibacillus,Cerasibacillus terrae,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,DASUXY01,DASUXY01 sp035301985,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,DASUXY01,DASUXY01 sp036377675,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,DATGUN01,DATGUN01 sp035301285,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,DATGUP01,DATGUP01 sp035301265,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus alcaliphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus boraciitolerans,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus caseinilyticus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus dipsosauri,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus halophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus halotolerans,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus kekensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus lacisalsi,4
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus massiliensis,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus orientalis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus oryzae,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus salinarum,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus salitolerans,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus sp010993965,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus sp029268495,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus sp033949965,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus suaedae,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus timonensis,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus ureilyticus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Halolactibacillus,Halolactibacillus alkaliphilus,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Halolactibacillus,Halolactibacillus halophilus,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Halolactibacillus,Halolactibacillus miurensis,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,LDC-1,LDC-1 sp030137545,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus amyloliquefaciens,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus cibarius,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus doumboii,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus halodurans,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus halophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus ihumii,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus jeotgali,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus kapialis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus lipolyticus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus litoralis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus persicus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus salicampi,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus siamensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus siamensis_A,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus sp013373365,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus sp035301675,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus sp035301925,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus sp041689365,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus,Lentibacillus subterraneus,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_B,Lentibacillus_B saliphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_B,Lentibacillus_B sp009741735,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_C,Lentibacillus_C daqui,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_C,Lentibacillus_C populi,5
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_C,Lentibacillus_C sp039548255,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Lentibacillus_C,Lentibacillus_C sp900258515,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,MSJ-26,MSJ-26 sp018918075,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,MSJ-26,MSJ-26 sp035301745,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Natronobacillus,Natronobacillus azotifigens,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanibacillus_A,Oceanibacillus_A halotolerans,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus alkalisoli,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus arenosus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus bengalensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus caeni,16
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus chungangensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus damuensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus halophilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus humi,4
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus iheyensis,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus indicireducens,5
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus jeddahense,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus kimchii,9
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus luteolus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus massiliensis,3
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus neutriphilus,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus oncorhynchi,11
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus piezotolerans,1
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus polygoni,2
Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus profundus,10
