Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
OQ240256	Latilactobacillus phage TMW 1.1365 P2	Latilactobacillus phage TMW 1.1365 P2 Trabyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	37898	FALSE	40.147	DNA	29-MAR-2023	59	18.6440677966102	81.3559322033898	92.4666209298644	NA	0	Latilactobacillus	Trabyvirinae	Unclassified	Trabyvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Latilactobacillus curvatus TMW 1.1365
OQ515479	Klebsiella phage vB_KpP_HS37	Klebsiella phage vB_KpP_HS37 Sugarlandvirus Demerecviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	74084	FALSE	45.130	DNA	29-MAR-2023	122	22.9508196721311	77.0491803278689	82.7101668376438	NA	25	Klebsiella	Sugarlandvirus	Sugarlandvirus	Unclassified	Demerecviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae Kp37
OQ507919	Escherichia phage vB_Ec_Tarrare	Escherichia phage vB_Ec_Tarrare Teseptimavirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40953	FALSE	47.347	DNA	29-MAR-2023	47	100	0	91.9859350963299	NA	0	Escherichia	Teseptimavirus	Teseptimavirus	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OQ507916	Salmonella phage ZCSE7	Salmonella phage ZCSE7 Jerseyvirus Guernseyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44336	FALSE	49.504	DNA	29-MAR-2023	65	29.2307692307692	70.7692307692308	87.8924575965356	NA	0	Salmonella	Jerseyvirus	Jerseyvirus	Guernseyvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OQ471969	Acinetobacter phage vB_AbaM_ABMM1	Acinetobacter phage vB_AbaM_ABMM1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	75731	FALSE	37.322	DNA	29-MAR-2023	84	77.3809523809524	22.6190476190476	91.9993133591264	NA	0	Acinetobacter	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Acinetobacter baumannii
OQ446694	Escherichia phage Killian	Escherichia phage Killian Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	169905	FALSE	35.376	DNA	29-MAR-2023	269	15.6133828996283	84.3866171003718	95.0484094052559	NA	7	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OQ428192	Pseudomonas phage phiLCL12	Pseudomonas phage phiLCL12 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	66071	FALSE	55.698	DNA	29-MAR-2023	89	57.3033707865169	42.6966292134831	91.8057846861709	NA	0	Pseudomonas	Pbunavirus	Pbunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa LCL12
NC_022054	Mycobacterium phage Muddy	Mycobacterium phage Muddy Mapvirus muddy Mapvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	48229	FALSE	58.828	DNA	29-MAR-2023	66	75.7575757575758	24.2424242424242	91.7995396960335	NA	0	Mycobacterium	Mapvirus	Mapvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
NC_071149	Klebsiella phage vB_Kpn_ZCKp20p	Klebsiella phage vB_Kpn_ZCKp20p Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	48797	FALSE	47.907	DNA	29-MAR-2023	80	60	40	93.2577822407115	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OK331996	Escherichia phage vB_EcoM-G157lw	Escherichia phage vB_EcoM-G157lw Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	167170	FALSE	35.357	DNA	29-MAR-2023	265	84.1509433962264	15.8490566037736	94.951845426811	NA	11	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli ATCC 43888
OP620756	Klebsiella phage vB_KpnP_K2044-302	Klebsiella phage vB_KpnP_K2044-302 Przondovirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	39372	FALSE	52.738	DNA	28-MAR-2023	47	0	100	92.1746418774764	NA	0	Klebsiella	Przondovirus	Przondovirus	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP620755	Klebsiella phage vB_KpnP_K2044-EW	Klebsiella phage vB_KpnP_K2044-EW Przondovirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40254	FALSE	53.075	DNA	28-MAR-2023	52	1.92307692307692	98.0769230769231	90.4754806975704	NA	0	Klebsiella	Przondovirus	Przondovirus	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP620754	Klebsiella phage vB_KpnP_K2044-HW	Klebsiella phage vB_KpnP_K2044-HW Przondovirus Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40115	FALSE	53.055	DNA	28-MAR-2023	51	100	0	90.6020191948149	NA	0	Klebsiella	Przondovirus	Przondovirus	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
OP495736	Klebsiella phage vB_KmiS-Kmi2C	Klebsiella phage vB_KmiS-Kmi2C Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42234	FALSE	39.033	DNA	28-MAR-2023	55	16.3636363636364	83.6363636363636	92.6978263957949	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella michiganensis PS_Koxy2
OP373729	Klebsiella phage vB_Kpn_ZCKp20p	Klebsiella phage vB_Kpn_ZCKp20p Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	48797	FALSE	47.907	DNA	28-MAR-2023	80	60	40	93.2577822407115	NA	0	Klebsiella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae
MZ616364	Erwinia phage KEY	Erwinia phage KEY Markadamsvirinae Demerecviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	115651	FALSE	39.026	DNA	28-MAR-2023	177	75.1412429378531	24.8587570621469	88.639959879292	NA	27	Erwinia	Markadamsvirinae	Unclassified	Markadamsvirinae	Demerecviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Erwinia amylovora
ON366412	Bacillus phage vB_BceP_LY3	Bacillus phage vB_BceP_LY3 Northropvirinae Salasmaviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	28009	FALSE	29.780	DNA	28-MAR-2023	47	21.2765957446809	78.7234042553192	82.1093220036417	NA	0	Bacillus	Northropvirinae	Unclassified	Northropvirinae	Salasmaviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Bacillus cereus
NC_051641	Mycobacterium phage Byougenkin	Mycobacterium phage Byougenkin Cheoctovirus byougenkin Cheoctovirus Gracegardnervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	54685	FALSE	61.425	DNA	28-MAR-2023	97	90.7216494845361	9.27835051546392	95.4941940202981	NA	0	Mycobacterium	Cheoctovirus	Cheoctovirus	Gracegardnervirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
NC_072504	Stenotrophomonas phage vB_SM_ytsc_ply2008005c	Stenotrophomonas phage vB_SM_ytsc_ply2008005c Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42318	FALSE	63.020	DNA	27-MAR-2023	54	62.962962962963	37.037037037037	94.9028782078548	NA	0	Stenotrophomonas	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Stenotrophomonas maltophilia
NC_072503	Sphingomonas phage vB_StuS_MMDA13	Sphingomonas phage vB_StuS_MMDA13 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	63743	FALSE	59.266	DNA	27-MAR-2023	80	67.5	32.5	91.7277191220997	NA	0	Sphingomonas	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Sphingomonas turrisvirgatae MCT13
NC_072502	Pseudomonas phage MiCath	Pseudomonas phage MiCath Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	60958	FALSE	55.745	DNA	27-MAR-2023	87	33.3333333333333	66.6666666666667	94.8751599461925	NA	0	Pseudomonas	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas putida S12
NC_072501	Pseudomonas phage Quinobequin-P09	Pseudomonas phage Quinobequin-P09 Nipunavirus NP1 Nipunavirus Queuovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	58277	FALSE	58.342	DNA	27-MAR-2023	81	43.2098765432099	56.7901234567901	92.5631037973815	NA	0	Pseudomonas	Nipunavirus	Nipunavirus	Queuovirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
NC_072500	Pseudomonas phage vB_PaeS_PAJD-1	Pseudomonas phage vB_PaeS_PAJD-1 Nipunavirus Queuovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	57919	FALSE	58.323	DNA	27-MAR-2023	72	61.1111111111111	38.8888888888889	91.6607676237504	NA	1	Pseudomonas	Nipunavirus	Nipunavirus	Queuovirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa PAO1
NC_072499	Xanthomonas phage vB_Xar_IVIA-DoCa3	Xanthomonas phage vB_Xar_IVIA-DoCa3 Nipunavirus Queuovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	58107	FALSE	58.544	DNA	27-MAR-2023	74	60.8108108108108	39.1891891891892	92.4277625759375	NA	1	Xanthomonas	Nipunavirus	Nipunavirus	Queuovirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Xanthomonas arboricola pv. juglandis IVIA 1317-1a
NC_072498	Pseudomonas phage JG054	Pseudomonas phage JG054 Nipunavirus Queuovirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	57839	FALSE	57.641	DNA	27-MAR-2023	74	62.1621621621622	37.8378378378378	94.1458185653279	NA	0	Pseudomonas	Nipunavirus	Nipunavirus	Queuovirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
KF024728	Mycobacterium phage Muddy	Mycobacterium phage Muddy Mapvirus muddy Mapvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	48229	FALSE	58.828	DNA	27-MAR-2023	66	75.7575757575758	24.2424242424242	91.7995396960335	NA	0	Mycobacterium	Mapvirus	Mapvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
NC_070971	Pseudomonas virus PBPA162	Pseudomonas virus PBPA162 Iggyvirus PBPA162 Iggyvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	60626	FALSE	56.388	DNA	27-MAR-2023	83	60.2409638554217	39.7590361445783	92.5098142711048	NA	0	Pseudomonas	Iggyvirus	Iggyvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OQ594965	Pseudomonas phage SG1	Pseudomonas phage SG1 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	65209	FALSE	55.190	DNA	26-MAR-2023	90	42.2222222222222	57.7777777777778	92.5363063380822	NA	0	Pseudomonas	Pbunavirus	Pbunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
OQ594353	Salmonella phage SWJM-02	Salmonella phage SWJM-02 Felixounavirus Ounavirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	84679	FALSE	38.823	DNA	25-MAR-2023	116	23.2758620689655	76.7241379310345	85.7012954805796	NA	25	Salmonella	Felixounavirus	Felixounavirus	Ounavirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Salmonella enterica ATCC BAA-708
OQ594352	Salmonella phage SWJM-01	Salmonella phage SWJM-01 Kuttervirus Cvivirinae Ackermannviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	155472	FALSE	44.718	DNA	25-MAR-2023	204	35.7843137254902	64.2156862745098	92.6764948029227	NA	4	Salmonella	Kuttervirus	Kuttervirus	Cvivirinae	Ackermannviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Salmonella enterica 2112
ON113334	Enterococcus phage ZXL	Enterococcus phage ZXL Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40804	FALSE	34.820	DNA	24-MAR-2023	63	63.4920634920635	36.5079365079365	90.9543182040976	NA	0	Enterococcus	Efquatrovirus	Efquatrovirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Enterococcus faecalis
OP793478	Salmonella phage ZCSE9	Salmonella phage ZCSE9 Jerseyvirus Guernseyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42689	FALSE	49.736	DNA	20-MAR-2023	64	29.6875	70.3125	91.9206352924641	NA	0	Salmonella	Jerseyvirus	Jerseyvirus	Guernseyvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Salmonella enterica subsp. enterica serovar Typhi
OQ427096	Xanthomonas phage X1	Xanthomonas phage X1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	200058	TRUE	50.211	DNA	20-MAR-2023	316	90.1898734177215	9.81012658227848	93.2554559177838	NA	40	Xanthomonas	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Xanthomonas campestris pv. campestris str. 8004
OQ412633	Pseudomonas phage JB10	Pseudomonas phage JB10 Phikmvvirus Krylovirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43000	FALSE	62.463	DNA	20-MAR-2023	53	100	0	92.3860465116279	NA	0	Pseudomonas	Phikmvvirus	Phikmvvirus	Krylovirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa PAO1 (ATCC 15692)
OQ411034	Cutibacterium phage Y3Z	Cutibacterium phage Y3Z Pahexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	29160	FALSE	54.102	DNA	20-MAR-2023	41	53.6585365853659	46.3414634146341	85.9876543209876	NA	0	Cutibacterium	Pahexavirus	Pahexavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Cutibacterium acnes
OQ404738	Klebsiella phage phi731	Klebsiella phage phi731 Webervirus Drexlerviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	50237	FALSE	50.923	DNA	20-MAR-2023	77	77.9220779220779	22.0779220779221	90.9250154268766	NA	0	Klebsiella	Webervirus	Webervirus	Unclassified	Drexlerviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella pneumoniae 52.145 K2
OQ420740	Escherichia phage B9-1	Escherichia phage B9-1 Vequintavirus Vequintavirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	136047	FALSE	43.611	DNA	20-MAR-2023	209	56.4593301435407	43.5406698564593	90.2100009555521	NA	6	Escherichia	Vequintavirus	Vequintavirus	Vequintavirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli MTCC 901
OQ622254	Pseudomonas phage vB_PaeM-G11	Pseudomonas phage vB_PaeM-G11 Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40800	FALSE	54.010	DNA	20-MAR-2023	50	100	0	93.5588235294118	NA	0	Pseudomonas	Studiervirinae	Unclassified	Studiervirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas sp. D3; Pseudomonas sp. G11
OQ389126	Ralstonia phage BOESR1	Ralstonia phage BOESR1 Gyeongsanvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	20501	FALSE	57.900	DNA	20-MAR-2023	32	96.875	3.125	89.3517389395639	NA	0	Ralstonia	Gyeongsanvirus	Gyeongsanvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Ralstonia pseudosolanacearum (NCPPB 4694)
OQ579022	Ralstonia phage BHDT8	Ralstonia phage BHDT8 Higashivirus Okabevirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41298	FALSE	62.967	DNA	20-MAR-2023	42	0	100	89.8082231585065	NA	0	Ralstonia	Higashivirus	Higashivirus	Okabevirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Ralstonia solanacearum PS025
ON042477	Vibrio phage PhiImVa-1	Vibrio phage PhiImVa-1 Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	77479	FALSE	38.661	DNA	17-MAR-2023	100	80	20	89.6191226009628	NA	3	Vibrio	Schitoviridae	Unclassified	Unclassified	Schitoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Vibrio alginolyticus strain NBRC 15630
OK357457	Salmonella phage YMFM0293	Salmonella phage YMFM0293 Jerseyvirus Guernseyvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41957	FALSE	50.209	DNA	17-MAR-2023	61	68.8524590163934	31.1475409836066	91.5365731582334	NA	0	Salmonella	Jerseyvirus	Jerseyvirus	Guernseyvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Salmonella sp.
MN496308	Sulfolobus spindle-shaped virus	Sulfolobus spindle-shaped virus Alphafusellovirus Fuselloviridae Viruses	11519	FALSE	38.311	DNA	17-MAR-2023	21	66.6666666666667	33.3333333333333	91.1797899123188	NA	0	Sulfolobus	Alphafusellovirus	Alphafusellovirus	Unclassified	Fuselloviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Sulfolobus sp. E5-1
MN496307	Sulfolobus spindle-shaped virus	Sulfolobus spindle-shaped virus Alphafusellovirus Fuselloviridae Viruses	11607	FALSE	38.149	DNA	17-MAR-2023	22	63.6363636363636	36.3636363636364	92.3752907728095	NA	0	Sulfolobus	Alphafusellovirus	Alphafusellovirus	Unclassified	Fuselloviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Sulfolobus sp. E5-1
MN496306	Sulfolobus spindle-shaped virus	Sulfolobus spindle-shaped virus Alphafusellovirus Fuselloviridae Viruses	11729	FALSE	38.341	DNA	17-MAR-2023	22	68.1818181818182	31.8181818181818	89.2403444453918	NA	0	Sulfolobus	Alphafusellovirus	Alphafusellovirus	Unclassified	Fuselloviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Sulfolobus sp. E5-1
MN496305	Sulfolobus spindle-shaped virus SSV19	Sulfolobus spindle-shaped virus SSV19 Betafusellovirus Fuselloviridae Viruses	13206	FALSE	38.755	DNA	17-MAR-2023	22	72.7272727272727	27.2727272727273	91.7310313493866	NA	0	Sulfolobus	Betafusellovirus	Betafusellovirus	Unclassified	Fuselloviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Sulfolobus sp. E11-6
NC_005265	Sulfolobus spindle-shaped virus 2	Sulfolobus spindle-shaped virus 2 Alphafusellovirus Fuselloviridae Viruses	14796	FALSE	38.497	DNA	16-MAR-2023	25	72	28	80.852933225196	NA	1	Sulfolobus	Alphafusellovirus	Alphafusellovirus	Unclassified	Fuselloviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Sulfolobus
ON004963	Klebsiella phage GADU21	Klebsiella phage GADU21 Efbeekayvirus Schitoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	75968	FALSE	44.390	DNA	30-OCT-2024	91	24.1758241758242	75.8241758241758	94.4700400168492	NA	7	Klebsiella	Efbeekayvirus	Efbeekayvirus	Unclassified	Schitoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Klebsiella sp.
OL770073	Escherichia phage vB_EcoM-RPN226	Escherichia phage vB_EcoM-RPN226 Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	167390	FALSE	35.552	DNA	15-MAR-2023	259	17.7606177606178	82.2393822393822	93.701535336639	NA	8	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli strain M226
MZ333457	Enterococcus phage SSsP-1	Enterococcus phage SSsP-1 Saphexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	57270	FALSE	39.848	DNA	15-MAR-2023	91	15.3846153846154	84.6153846153846	88.3342063907805	NA	2	Enterococcus	Saphexavirus	Saphexavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Enterococcus sp.
NC_001706	Lactococcus phage c2	Lactococcus phage c2 Ceduovirus c2 Ceduovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	22172	FALSE	36.307	DNA	15-MAR-2023	37	48.6486486486487	51.3513513513513	93.4827710626015	NA	0	Lactococcus	Ceduovirus	Ceduovirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OQ067376	Escherichia phage a51	Escherichia phage a51 Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	168771	FALSE	35.342	DNA	14-MAR-2023	265	15.4716981132075	84.5283018867925	94.3165591244941	NA	10	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OQ067375	Escherichia phage a48	Escherichia phage a48 Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	166886	FALSE	35.442	DNA	14-MAR-2023	266	15.0375939849624	84.9624060150376	94.2595544263749	NA	9	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OQ067374	Escherichia phage a20	Escherichia phage a20 Mosigvirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	168870	FALSE	37.548	DNA	14-MAR-2023	264	15.9090909090909	84.0909090909091	94.5680108959555	NA	2	Escherichia	Mosigvirus	Mosigvirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OQ067373	Escherichia phage a15	Escherichia phage a15 Tequatrovirus Tevenvirinae Straboviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	167094	FALSE	35.384	DNA	14-MAR-2023	266	15.4135338345865	84.5864661654135	94.6174009838773	NA	10	Escherichia	Tequatrovirus	Tequatrovirus	Tevenvirinae	Straboviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Escherichia coli
OQ428188	Staphylococcus phage ESa2	Staphylococcus phage ESa2 Kayvirus Twortvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	141828	FALSE	30.246	DNA	13-MAR-2023	218	72.9357798165138	27.0642201834862	90.3368869334687	NA	3	Staphylococcus	Kayvirus	Kayvirus	Twortvirinae	Herelleviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Unspecified
OQ414636	Pelagibacter phage EXVC032P Baldr	Pelagibacter phage EXVC032P Baldr Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	39463	FALSE	31.075	DNA	13-MAR-2023	55	70.9090909090909	29.0909090909091	96.8882244127411	NA	0	Pelagibacter	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Candidadtus Pelagibacter sp. HTCC1062
OQ414635	Pelagibacter phage EXVC031P Hodr	Pelagibacter phage EXVC031P Hodr Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	34238	FALSE	32.841	DNA	13-MAR-2023	59	28.8135593220339	71.1864406779661	91.8978912319645	NA	0	Pelagibacter	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Candidadtus Pelagibacter sp. HTCC1062
